ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Evidence to Collect,Owner/Role,Phase/Gate,Status,Constraints,Version & Change Notes,Verification Detail,Verification Level
TRW-001,9.1 Workflow Triggering & Scope,The workflow shall run only in response to a workflow_run of CI Pipeline.,Functional/Performance,High,"Inspection, Demonstration",Inspection,"Only workflow_run(CI Pipeline, completed) is declared; no other triggers exist.",SRS Section 9.1 trigger guard,.github/workflows/draft-release.yml,,Prevent unintended draft-release runs,Unintended release runs,Workflow YAML snippet; Log of event payload,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-26,,
TRW-002,9.1 Workflow Triggering & Scope,The workflow shall proceed only when workflow_run.conclusion == success.,Functional/Performance,High,Test,Test,Runs when conclusion=success; exits early otherwise.,SRS Section 9.1 success gate,.github/workflows/draft-release.yml,,Gate downstream release on upstream success,Tag/release from failed upstream,Logs showing guard evaluation; Run URLs with conclusions,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
TRW-003,9.1 Workflow Triggering & Scope,The workflow shall proceed only when the upstream event is push.,Functional/Performance,High,Test,Test,Push events continue; non-push events skip.,SRS Section 9.1 event source constraint,.github/workflows/draft-release.yml,,Restrict release flow to push provenance,Release triggered from PR/replay,Guard log for push vs pull_request,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
TRW-004,9.1 Workflow Triggering & Scope,"The workflow shall evaluate head_branch against an allow-list (main, develop, release-alpha/*, release-beta/*, release-rc/*) with configurable extensions.",Functional/Performance,High,"Analysis, Test",Analysis,Allowed branches proceed; blocked branches emit diagnostic.,SRS Section 9.1 branch allow-list,.github/workflows/draft-release.yml,,Constrain release scope,Unintended releases from feature branches,Allow-list config snippet; Logs for allowed/disallowed branches,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
TRW-005,9.1 Workflow Triggering & Scope,"For branches outside the allow-list, the workflow shall terminate as a no-op and perform no tag or release.",Functional/Performance,High,Test,Test,No tags/releases created; log shows no-op decision.,SRS Section 9.1 no-op on disallowed branches,.github/workflows/draft-release.yml,,Protect release refs,Accidental tag/release on disallowed branch,Run log showing no-op; Tag/release list unchanged,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
TRW-006,9.1 Workflow Triggering & Scope,The workflow shall ensure at most one run per commit SHA using a concurrency group keyed by the SHA.,Process,High,"Inspection, Demonstration",Inspection,Overlapping runs on same SHA cancel older run; only one completes.,SRS Section 9.1 dedupe requirement,.github/workflows/draft-release.yml,,Deduplicate by commit,Conflicting releases from parallel runs,Concurrency block YAML; Run history showing cancel,Automation QA (Agent),CI Integration,Completed,,2 | 2025-11-26,,
TRW-006B,9.1 Workflow Triggering & Scope,"When a new run starts for the same commit SHA, cancel any in-progress run (cancel-in-progress policy).",Process,High,"Inspection, Demonstration",Inspection,First run cancels; second run succeeds for same SHA.,SRS Section 9.1 dedupe requirement,.github/workflows/draft-release.yml,,Keep single active run,Duplicate releases on same commit,Run history with cancel,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-26,,
TRW-006C,9.1 Workflow Triggering & Scope,The workflow shall log the configured concurrency policy (including group) at start for traceability.,Process,High,"Inspection, Demonstration",Inspection,Startup log contains concurrency_policy and concurrency_group once.,SRS Section 9.1 dedupe requirement,.github/workflows/draft-release.yml,,Audit concurrency settings,Lack of audit trail for dedupe,Log excerpt with concurrency policy,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-26,,
TRW-010,9.2 Versioning & Bump Logic,"The workflow shall compute next version from last reachable tag, parsed semver, and commit count as BUILD.",Functional/Performance,High,"Analysis, Test",Analysis,Version = last tag semver bumped with build = commit count since tag.,SRS Section 9.2 version computation,.github/actions/compute-version,,Deterministic versioning,Wrong version/tag selection,CI logs with last tag and commit count,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
TRW-011,9.2 Versioning & Bump Logic,"When no previous tag exists, the base version shall default to 0.1.0 before bump rules.",Functional/Performance,Medium,Test,Test,Fallback version 0.1.0 is used when no tag is found.,SRS Section 9.2 base version fallback,.github/actions/compute-version,,Provide deterministic default,Undefined version on empty history,Logs showing base version path,Automation QA (Agent),CI Integration,Completed,,1 | 2025-11-20,,
