ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes
TRW-001,9.1 Workflow Triggering & Scope,The workflow **shall run only** in response to a `workflow_run` of the upstream workflow named **“CI Pipeline (Composite)”**.,Functional,High,"Inspection, Demonstration",Inspection,Only `workflow_run` is declared with `workflows: [CI Pipeline (Composite)]` and `types: [completed]`.,"Open `.github/workflows/draft-release.yml`.
Verify `on.workflow_run.workflows` includes `CI Pipeline (Composite)` and `on.workflow_run.types` includes `completed`.
Confirm no other event triggers (`push`, `pull_request`, schedule) are defined for this workflow.",Workflow YAML snippet showing the `on: workflow_run` section.; Screenshot or log of event payload proving trigger source.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 109; Verified .github/workflows/draft-release.yml allows only workflow_run from CI Pipeline (Composite) with type completed; no other triggers."
TRW-002,9.1 Workflow Triggering & Scope,The workflow **shall proceed only** when the upstream `workflow_run.conclusion` equals `success`.,Functional,High,Test,Test,Workflow runs when `conclusion=success` and does not run (or exits early) when `conclusion≠success`.,"Create a controlled upstream run with `conclusion=success` and another with `conclusion=failure` (e.g., dispatch or replay).
Observe draft-release workflow behavior for both upstream runs.",Two run URLs with conclusions and downstream run status.; Logs showing conditional gate `github.event.workflow_run.conclusion == 'success'`.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 110; Guard present in .github/workflows/draft-release.yml to exit unless workflow_run.conclusion == success."
TRW-003,9.1 Workflow Triggering & Scope,The workflow **shall proceed only** when the upstream workflow was triggered by a `push` event.,Functional,High,Test,Test,Downstream workflow proceeds only when upstream `event` is `push`; other events are skipped.,"Ensure the job has an early `if:` guard: `github.event.workflow_run.event == 'push'`.
Trigger an upstream run caused by `push` and one by `pull_request`; observe behavior.",YAML snippet with `if: ${{ github.event.workflow_run.event == 'push' }}`.; Run logs/screens showing skip on non-push events.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 111; Guard present in .github/workflows/draft-release.yml to exit unless workflow_run.event == push."
TRW-004,9.1 Workflow Triggering & Scope,"The workflow **shall evaluate the upstream `head_branch`** against a configurable allow‑list of patterns: `main`, `develop`, `release-alpha/*`, `release-beta/*`, `release-rc/*` (default), with support for extension via configuration.",Functional,High,"Analysis/Simulation, Test",Analysis/Simulation,Branches in allow-list proceed; others are blocked with a clear diagnostic.,"Identify the allow-list patterns (e.g., `main`, `develop`, `release-*`).
Verify gate logic evaluates `github.event.workflow_run.head_branch` against the list.
Test with branches matching and not matching the list.",Config file or YAML `if` expression showing pattern check.; Run logs from both allowed and disallowed branches.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 112; Allow-list enforced in .github/workflows/draft-release.yml with defaults (main, develop, release-alpha/*, release-beta/*, release-rc/*) and optional extensions via ALLOWED_BRANCH_PATTERNS."
TRW-005,9.1 Workflow Triggering & Scope,"For branches outside the allow‑list, the workflow **shall terminate** with a **no‑op outcome** and perform **no tag or release operations**.",Functional,High,Test,Test,No tags or releases created; logs indicate no-op by branch policy.,"Execute a run from a branch not in the allow-list.
Confirm the workflow exits with a no-op and performs no tag or release operations.",Run log capturing no-op decision.; Release/tags UI showing no changes.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 113; Branch allow-list gate in .github/workflows/draft-release.yml exits before tag/release steps for disallowed branches."
TRW-006,9.1 Workflow Triggering & Scope,The workflow **shall define a concurrency group** that ensures only one run per commit SHA is active at a time; subsequent runs for the same SHA **shall cancel** or **queue** per configuration.,Process/Quality,High,"Inspection, Demonstration",Inspection,At most one active run per commit; either queued or cancelled per configuration.,"Open workflow YAML and locate `concurrency:`.
Verify `group` includes the commit SHA (e.g., `${{ github.sha }}`) and `cancel-in-progress: true` (or per policy).
Trigger two runs for the same commit and observe deduping/queuing.",YAML snippet of `concurrency` block.; Run timeline screenshots showing queuing/cancellation.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 114; Concurrency configured in .github/workflows/draft-release.yml with group: ${{ github.workflow }}-${{ github.event.workflow_run.head_sha }} and cancel-in-progress: true to ensure one run per commit."
TRW-010,9.2 Versioning & Bump Logic,The workflow **shall compute the next version** from: (a) last reachable tag; (b) parsed semantic version; and (c) commit count since that tag as **BUILD**.,Functional,High,"Analysis/Simulation, Test",Analysis/Simulation,"Version is computed from last tag, parsed semver, and commit count as build number.","Fetch full git history (`fetch-depth: 0`).
Resolve last reachable tag and parse semantic version; determine commit count since tag.
Compute next version candidate.","Logs with last tag, parsed parts, and commit count.; Printed `VERSION_STRING`.",Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 120; Compute-version action derives MAJOR/MINOR/PATCH from last reachable tag, defaults to 0.1.0 if none, and sets BUILD to commit count since that tag."
TRW-011,9.2 Versioning & Bump Logic,"When no previous tag exists, the base version **shall default to `0.1.0`** prior to applying bump rules.",Functional,Medium,Test,Test,"When no prior tag exists, version defaults to configured base (e.g., `0.1.0`).","Delete tags locally/in test repo to simulate no previous tag.
Run version computation routine.",Log excerpt showing base version fallback path.; `VERSION_STRING` value in output.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 121; Compute-version action falls back to base version 0.1.0 when no prior tag exists before applying bump rules."
TRW-012,9.2 Versioning & Bump Logic,"In **PR CI context**, the bump type **shall be determined by PR labels**: `major`, `minor`, or `patch`; exactly one such label shall be present; if none, **default to `patch`**; if multiple, **fail** the computation with a clear diagnostic.",Functional,High,Test,Test,Bump type follows labels; multiple label case fails; none defaults to `patch`.,"Create a PR with label `major`, then with `minor`, then with `patch`.
Create a PR with multiple bump labels to observe failure.
Create a PR with no bump labels to observe default.",CI logs mapping label to bump type.; Failure log for multiple labels.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 122; Compute-version action selects bump from PR labels (major/minor/patch), defaults to patch when none, and fails with a clear diagnostic if multiple labels are present."
TRW-013,9.2 Versioning & Bump Logic,"In **push context on release branches**, the default bump type **shall be at least `patch`** unless overridden by explicit configuration.",Functional,High,Test,Test,Push on release branches yields at least a `patch` bump by default.,"Push commits to a release branch (e.g., `release-alpha/x`).
Observe default bump type selection (≥ patch) unless overridden in config.",Logs showing selected bump type and branch context.,Automation QA (Agent),CI Integration,Completed,2025-11-20,,,,"Derived from SRS line 123; Compute-version action defaults bump to patch on release branches (release-alpha/*, release-beta/*, release-rc/*, release/*) in non-PR contexts."
