Requirement ID,SRS file,Title,Suggested Methods,Evidence files (sample),Evidence count
FGC-REQ-AIC-001,docs/srs/FGC-REQ-AIC-001.md,FGC-REQ-AIC-001 — Two-way Codex↔LLM handshake via ChatOps,,,0
FGC-REQ-AIC-002,docs/srs/FGC-REQ-AIC-002.md,FGC-REQ-AIC-002 — Session persistence & audit trail,,,0
FGC-REQ-AIC-003,docs/srs/FGC-REQ-AIC-003.md,FGC-REQ-AIC-003 — Codex proposes changes as unified diffs,,,0
FGC-REQ-AIC-004,docs/srs/FGC-REQ-AIC-004.md,FGC-REQ-AIC-004 — Safe application of Codex proposals,,,0
FGC-REQ-AIC-005,docs/srs/FGC-REQ-AIC-005.md,FGC-REQ-AIC-005 — Automated reviewer critique for Codex PRs,Inspection,.github/workflows/codex-reviewer.yml,1
FGC-REQ-AIC-006,docs/srs/FGC-REQ-AIC-006.md,FGC-REQ-AIC-006 — Persist reviewer artifacts & label PRs,Inspection,.github/workflows/codex-reviewer.yml,1
FGC-REQ-CI-001,docs/srs/FGC-REQ-CI-001.md,FGC-REQ-CI-001 — Build pipelines,Inspection,.github/workflows/build.yml; .github/workflows/stage2-3-ci.yml; .github/workflows/stage2.yml,3
FGC-REQ-CI-002,docs/srs/FGC-REQ-CI-002.md,FGC-REQ-CI-002 — Auto-advance on green,Inspection,scripts/waterfall_state.py; .github/workflows/auto-advance-on-green.yml; .github/workflows/validate-waterfall-state.yml,3
FGC-REQ-CI-003,docs/srs/FGC-REQ-CI-003.md,FGC-REQ-CI-003 — Codex execute,Inspection,.github/workflows/codex-execute.yml,1
FGC-REQ-CI-004,docs/srs/FGC-REQ-CI-004.md,FGC-REQ-CI-004 — Codex orchestrator,Inspection,.github/workflows/codex-orchestrator.yml,1
FGC-REQ-CI-005,docs/srs/FGC-REQ-CI-005.md,FGC-REQ-CI-005 — Configure branch protection,,,0
