ID,Section,Requirement Statement,Type,Priority,Verification Methods (from SRS),Primary Method (select),Acceptance Criteria,Agent Procedure (step-by-step),Evidence to Collect,Owner/Role,Phase/Gate,Status,Date Last Updated,Test Case ID / Link,Upstream Trace,Downstream Trace,Notes,Rationale,Risk,Assumptions,Constraints,Version & Change Notes,Verification Detail,Verification Level
TRW-001,9.1 Workflow Triggering & Scope,The workflow **shall run only** in response to a `workflow_run` of the upstream workflow named **“CI Pipeline”**.,Functional/Performance,High,"Inspection, Demonstration",Inspection,Only `workflow_run` is declared with `workflows: [CI Pipeline]` and `types: [completed]`. Pass when observed failures = 0 and required events are captured in logs with timestamps.,"Open `.github/workflows/draft-release.yml`.Verify `on.workflow_run.workflows` includes `CI Pipeline` and `on.workflow_run.types` includes `completed`.Confirm no other event triggers (`push`, `pull_request`, schedule) are defined for this workflow.",Workflow YAML snippet showing the `on: workflow_run` section.; Screenshot or log of event payload proving trigger source.,Automation QA (Agent),CI Integration,Completed,2025-11-20,"SRS Section 9.1 trigger guard for draft-release (line 109, allow workflow_run CI Pipeline).","SRS Section 9.1 trigger guard for draft-release (line 109, allow workflow_run CI Pipeline).",Workflow: .github/workflows/draft-release.yml; Tests: trigger simulation for workflow_run CI Pipeline.,Derived from SRS line 109; Verified .github/workflows/draft-release.yml allows only workflow_run from CI Pipeline with type completed; no other triggers.,Required to prevent unintended draft-release runs; derived from SRS Section 9.1 (CI trigger policy).,"Risk: workflow fires on wrong upstream job, causing unintended drafts/releases (quality/compliance).",Assumes .github/workflows/draft-release.yml owns release flow; upstream workflow emits workflow_run events.,"GitHub Actions workflow_run trigger only; upstream workflow name shall remain ""CI Pipeline"".",1 | hash=c9a47935ec89 | Baseline 2025-11-26,Inspection: compare .github/workflows/draft-release.yml on.workflow_run block (workflows/types) to requirement; attach YAML snippet and sample workflow_run payload.,System
TRW-002,9.1 Workflow Triggering & Scope,The workflow **shall proceed only** when the upstream `workflow_run.conclusion` equals `success`.,Functional/Performance,High,Test,Test,Workflow runs when `conclusion=success` and does not run (or exits early) when `conclusion≠success`. Pass when observed failures = 0 and required events are captured in logs with timestamps.,"Create a controlled upstream run with `conclusion=success` and another with `conclusion=failure` (e.g., dispatch or replay).Observe draft-release workflow behavior for both upstream runs.",Two run URLs with conclusions and downstream run status.; Logs showing conditional gate `github.event.workflow_run.conclusion == 'success'`.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 upstream success gate.,SRS Section 9.1 upstream success gate.,Workflow condition in .github/workflows/draft-release.yml; CI replay test case.,Derived from SRS line 110; Guard present in .github/workflows/draft-release.yml to exit unless workflow_run.conclusion == success.,Prevents downstream release on failed upstream runs per SRS Section 9.1 success gate.,Risk: tagging/releases on failed builds; mitigation: gate on conclusion==success.,Upstream workflow populates conclusion; CI permissions allow reading payload.,Uses github.event.workflow_run.conclusion == success guard; relies on upstream run data.,1 | hash=11dedb56adef | Baseline 2025-11-26,Demonstration/Test: replay workflow_run events with success/failure conclusions and observe draft-release gating; capture logs and GHA UI showing skip on failure.,System
TRW-003,9.1 Workflow Triggering & Scope,The workflow **shall proceed only** when the upstream workflow was triggered by a `push` event.,Functional/Performance,High,Test,Test,Downstream workflow proceeds only when upstream `event` is `push`; other events are skipped.,Ensure the job has an early `if:` guard: `github.event.workflow_run.event == 'push'`.Trigger an upstream run caused by `push` and one by `pull_request`; observe behavior.,YAML snippet with `if: ${{ github.event.workflow_run.event == 'push' }}`.; Run logs/screens showing skip on non-push events.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 event source constraint.,SRS Section 9.1 event source constraint.,draft-release workflow if guard; replay tests covering push vs non-push.,Derived from SRS line 111; Guard present in .github/workflows/draft-release.yml to exit unless workflow_run.event == push.,Avoids running release flow for non-push events; aligns with SRS branch policy.,Risk: releases from PR/replay events; mitigation: enforce push-only upstream origin.,Upstream workflow_run.event present; branch policy encoded in workflow.,"Relies on github.event.workflow_run.event == ""push"" guard in workflow.",1 | hash=f56cd71970da | Baseline 2025-11-26,Demonstration/Test: trigger workflow_run from push vs pull_request; facility: GitHub Actions; witness: QA reviewer; equipment: run logs/console; pass when push executes and pull_request skips.,System
TRW-004,9.1 Workflow Triggering & Scope,"The workflow **shall evaluate the upstream `head_branch`** against a configurable allow‑list of patterns: `main`, `develop`, `release-alpha/*`, `release-beta/*`, `release-rc/*` (default), with support for extension via configuration.",Functional/Performance,High,"Analysis/Simulation, Test",Analysis/Simulation,Branches in allow-list proceed; others are blocked with a clear diagnostic. Pass when observed failures = 0 and required events are captured in logs with timestamps.,"Identify the allow-list patterns (e.g., `main`, `develop`, `release-*`).Verify gate logic evaluates `github.event.workflow_run.head_branch` against the list.Test with branches matching and not matching the list.",Config file or YAML `if` expression showing pattern check.; Run logs from both allowed and disallowed branches.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 branch allow-list.,SRS Section 9.1 branch allow-list.,draft-release workflow allow-list condition; branch policy tests.,"Derived from SRS line 112; Allow-list enforced in .github/workflows/draft-release.yml with defaults (main, develop, release-alpha/*, release-beta/*, release-rc/*) and optional extensions via ALLOWED_BRANCH_PATTERNS.",Ensures release flow constrained to allowed branches per SRS Section 9.1.,Risk: unintended releases from feature branches; mitigation: allow-list enforcement.,Branch patterns maintained in workflow env/inputs; pattern evaluation uses startswith/glob.,"Default allow-list: main, develop, release-alpha/*, release-beta/*, release-rc/*; configurable via ALLOWED_BRANCH_PATTERNS.",1 | hash=95e63fa273ae | Baseline 2025-11-26,Inspection + Analysis/Simulation: review allow-list expression in .github/workflows/draft-release.yml; method: simulated workflow_run payloads using gha-runner; tool: GitHub Actions event simulator; record results.,System
TRW-005,9.1 Workflow Triggering & Scope,"For branches outside the allow‑list, the workflow **shall terminate** with a **no‑op outcome** and perform **no tag or release operations**.",Functional/Performance,High,Test,Test,No tags or releases created; logs indicate no-op by branch policy. Pass when observed failures = 0 and required events are captured in logs with timestamps.,Execute a run from a branch not in the allow-list.Confirm the workflow exits with a no-op and performs no tag or release operations.,Run log capturing no-op decision.; Release/tags UI showing no changes.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 no-op on disallowed branches.,SRS Section 9.1 no-op on disallowed branches.,draft-release noop guard; CI test proving no tag/release artifacts.,Derived from SRS line 113; Branch allow-list gate in .github/workflows/draft-release.yml exits before tag/release steps for disallowed branches.,Prevents tag/release side effects for disallowed branches; ties to SRS non-destructive policy.,Risk: accidental tags/releases on disallowed branches; mitigation: early noop path.,No side-car automation creates tags outside workflow; noop path short-circuits before actions/create-release.,Workflow shall exit before tag/release steps for disallowed branches; uses GITHUB_TOKEN contents:write only when allowed.,1 | hash=426b25219ff8 | Baseline 2025-11-26,"Demonstration/Test: run disallowed branch on GitHub Actions (facility), witness QA, equipment: workflow logs and git tag/release listing; pass when no tags/releases created and log shows noop.",System
TRW-006,9.1 Workflow Triggering & Scope,The workflow shall ensure at most one run per commit SHA is active at any time using a concurrency group keyed by the SHA.,Process,High,"Inspection, Demonstration",Inspection,Trigger two runs for the same commit within 1 minute; the earlier run transitions to cancelled and only one run proceeds to completion. Logs show concurrency group name containing the commit SHA.,Open .github/workflows/draft-release.yml and confirm concurrency.group includes commit SHA and cancel-in-progress: true. Trigger two runs for the same commit; observe first run cancelled and second succeeds.,YAML snippet of concurrency block; run history showing first run cancelled and second completed for same SHA with timestamps.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 dedupe requirement.,SRS Section 9.1 dedupe requirement.,draft-release concurrency block; run history showing cancellation/queuing.,Derived from SRS line 114; Concurrency configured in .github/workflows/draft-release.yml with group: ${{ github.workflow }}-${{ github.event.workflow_run.head_sha }} and cancel-in-progress: true to ensure one run per commit.,Avoids duplicate runs per commit to keep release state consistent.,Risk: parallel runs racing on same commit causing tag conflicts.,Runner supports GHA concurrency; SHA stable per run.,Uses GitHub Actions concurrency group keyed by commit SHA with cancel-in-progress true.,2 | hash=a1b3ad8486e9 | Split for atomic concurrency coverage 2025-11-26,Inspection of concurrency.group in .github/workflows/draft-release.yml (includes commit SHA) and cancel-in-progress: true; demonstration by triggering overlapping runs and capturing queue/cancel behavior.,System
TRW-006B,9.1 Workflow Triggering & Scope,"When a new run starts for the same commit SHA, the workflow shall cancel any in-progress run for that SHA (cancel-in-progress policy).",Process,High,"Inspection, Demonstration",Inspection,"With cancel-in-progress enabled, trigger two runs for the same commit; first run ends with status=cancelled and second run completes. Logs show cancellation event with timestamps.",Open .github/workflows/draft-release.yml and confirm concurrency.group includes commit SHA and cancel-in-progress: true. Trigger two runs for the same commit; observe first run cancelled and second succeeds.,Run history showing first run cancelled and second succeeded for same SHA; log line indicating cancel-in-progress trigger.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 dedupe requirement.,SRS Section 9.1 dedupe requirement.,draft-release concurrency block; run history showing cancellation/queuing.,Atomic split of concurrency behavior: cancellation policy is enforced when duplicate runs occur.,Avoids duplicate runs per commit to keep release state consistent.,Risk: parallel runs racing on same commit causing tag conflicts.,Runner supports GHA concurrency; SHA stable per run.,Uses GitHub Actions concurrency group keyed by commit SHA with cancel-in-progress true.,1 | hash=4f3d8849de8e | Added atomic requirement 2025-11-26,Inspection of concurrency.group in .github/workflows/draft-release.yml (includes commit SHA) and cancel-in-progress: true; demonstration by triggering overlapping runs and capturing queue/cancel behavior.,System
TRW-006C,9.1 Workflow Triggering & Scope,"The workflow shall log the configured concurrency policy (e.g., cancel-in-progress=true) at start for traceability.",Process,High,"Inspection, Demonstration",Inspection,Workflow log (before first job step) contains exactly one line matching regex `concurrency_policy=[a-z]+; concurrency_group=[^\s]+`; timestamp recorded from the log entry.,Open .github/workflows/draft-release.yml and confirm concurrency.group includes commit SHA and cancel-in-progress: true. Trigger two runs for the same commit; observe first run cancelled and second succeeds.,Workflow log excerpt with concurrency_policy entry and group value.,Automation QA (Agent),CI Integration,Completed,2025-11-20,SRS Section 9.1 dedupe requirement.,SRS Section 9.1 dedupe requirement.,draft-release concurrency block; run history showing cancellation/queuing.,Atomic split of concurrency behavior: policy is declared in logs for auditability.,Avoids duplicate runs per commit to keep release state consistent.,Risk: parallel runs racing on same commit causing tag conflicts.,Runner supports GHA concurrency; SHA stable per run.,Uses GitHub Actions concurrency group keyed by commit SHA with cancel-in-progress true.,1 | hash=6de8770c74d6 | Added atomic requirement 2025-11-26,Inspection of concurrency.group in .github/workflows/draft-release.yml (includes commit SHA) and cancel-in-progress: true; demonstration by triggering overlapping runs and capturing queue/cancel behavior.,System
TRW-010,9.2 Versioning & Bump Logic,The workflow **shall compute the next version** from: (a) last reachable tag; (b) parsed semantic version; and (c) commit count since that tag as **BUILD**.,Functional/Performance,High,"Analysis/Simulation, Test",Analysis/Simulation,"Version is computed from last tag, parsed semver, and commit count as build number.",Fetch full git history (`fetch-depth: 0`).Resolve last reachable tag and parse semantic version; determine commit count since tag.Compute next version candidate.,"Logs with last tag, parsed parts, and commit count.; Printed `VERSION_STRING`.",Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,"Derived from SRS line 120; Compute-version action derives MAJOR/MINOR/PATCH from last reachable tag, defaults to 0.1.0 if none, and sets BUILD to commit count since that tag.",Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=206eadb71468 | Baseline 2025-11-26,"Analysis/Simulation: record method/tool version, inputs/data source, acceptance thresholds, and output review steps (.",System
TRW-011,9.2 Versioning & Bump Logic,"When no previous tag exists, the base version **shall default to `0.1.0`** prior to applying bump rules.",Functional/Performance,Medium,Test,Test,"When no prior tag exists, version defaults to configured base (e.g., `0.1.0`).",Delete tags locally/in test repo to simulate no previous tag.Run version computation routine.,Log excerpt showing base version fallback path.; `VERSION_STRING` value in output.,Automation QA (Agent),CI Integration,Completed,2025-11-20,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/actions/compute-version; .github/workflows/ci.yml test-compute-version-bump matrix,.github/workflows/ci.yml jobs test-compute-version-bump and version outputs,Derived from SRS line 121; Compute-version action falls back to base version 0.1.0 when no prior tag exists before applying bump rules.,Ensures deterministic semantic version selection for releases and artifacts.,Risk: incorrect bump creates wrong tags/releases; mitigations: matrix tests and guard rails on labels/branches.,Assumes reachable git tags and label metadata are available in CI context.,Runs in GitHub Actions; uses repo history and labels; no manual tag moves.,1 | hash=4b46ff0f0708 | Baseline 2025-11-26,"Demonstration/Test: list witnesses/roles, facility or environment, equipment/data capture, and pass/fail computation (.",System
